date,locality,site,bar,station,tran_length,elev_m
7/6/2010,CR,O,1,CRO1,30,0.128
7/6/2010,CR,O,1,CRO1,32.5,0.098
7/6/2010,CR,O,1,CRO1,35,0.048
7/6/2010,CR,O,1,CRO1,37.5,0.038
7/6/2010,CR,O,1,CRO1,40,-0.002
7/6/2010,CR,O,1,CRO1,42.5,-0.002
7/6/2010,CR,O,1,CRO1,45,-0.057
7/6/2010,CR,O,1,CRO1,47.5,-0.102
7/6/2010,CR,O,1,CRO1,50,-0.162
7/6/2010,CR,O,1,CRO1,2.5,-0.342
7/6/2010,CR,O,1,CRO1,5,-0.077
7/6/2010,CR,O,1,CRO1,7.5,0.098
7/6/2010,CR,O,3,CRO3,17.5,-0.083
7/6/2010,CR,O,3,CRO3,5,-0.098
7/6/2010,CR,O,3,CRO3,10,-0.113
7/6/2010,CR,O,3,CRO3,12.5,-0.113
7/6/2010,CR,O,3,CRO3,15,-0.113
7/6/2010,CR,O,3,CRO3,7.5,-0.133
7/6/2010,CR,O,3,CRO3,2.5,-0.493
7/6/2010,CR,O,3,CRO3,20,-0.188
7/6/2010,CR,O,3,CRO3,21,-0.188
7/6/2010,CR,O,4,CRO4,2.5,
7/6/2010,CR,O,4,CRO4,5,
7/6/2010,CR,O,4,CRO4,7.5,
7/6/2010,CR,O,4,CRO4,10,
7/6/2010,CR,O,4,CRO4,12.5,
7/6/2010,CR,O,4,CRO4,15,
7/6/2010,CR,O,4,CRO4,17.5,
7/6/2010,CR,O,4,CRO4,20,
7/6/2010,CR,O,4,CRO4,22.5,
7/6/2010,CR,O,4,CRO4,25,
7/7/2010,HB,I,1,HBI1,5,-0.245
7/7/2010,HB,I,1,HBI1,7.5,-0.135
7/7/2010,HB,I,1,HBI1,22.5,-0.025
7/7/2010,HB,I,1,HBI1,2.5,-0.535
7/7/2010,HB,I,1,HBI1,20,-0.015
7/7/2010,HB,I,1,HBI1,15,-0.025
7/7/2010,HB,I,1,HBI1,17.5,-0.015
7/7/2010,HB,I,1,HBI1,12.5,-0.05
7/7/2010,HB,I,1,HBI1,32.5,-0.335
7/7/2010,HB,I,1,HBI1,25,-0.03
7/7/2010,HB,I,1,HBI1,10,-0.07
7/7/2010,HB,I,1,HBI1,30,-0.125
7/7/2010,HB,I,1,HBI1,27.5,-0.055
7/7/2010,HB,I,2,HBI2,17.5,-0.393
7/7/2010,HB,I,2,HBI2,10,-0.053
7/7/2010,HB,I,2,HBI2,15,-0.213
7/7/2010,HB,I,2,HBI2,12.5,-0.093
7/7/2010,HB,I,2,HBI2,7.5,-0.058
7/7/2010,HB,I,2,HBI2,2.5,-0.253
7/7/2010,HB,I,2,HBI2,5,-0.083
7/7/2010,HB,I,3,HBI3,25.9,-0.472
7/7/2010,HB,I,3,HBI3,22.5,-0.152
7/7/2010,HB,I,3,HBI3,17.5,0.088
7/7/2010,HB,I,3,HBI3,2.5,-0.572
7/7/2010,HB,I,3,HBI3,20,-0.002
7/7/2010,HB,I,3,HBI3,25,-0.472
7/7/2010,HB,I,3,HBI3,12.5,0.063
7/7/2010,HB,I,3,HBI3,15,0.098
