"","station","month_num","year","side","cnt"
"434","WQ10","11",2019,"TOP",0
"435","WQ10","11",2019,"BOTTOM",0
"436","WQ10","11",2019,"SIDE",0
"437","WQ2","11",2019,"TOP",0
"438","WQ2","11",2019,"BOTTOM",5
"439","WQ2","11",2019,"SIDE",0
"440","WQ3","11",2019,"TOP",0
"441","WQ3","11",2019,"BOTTOM",2
"442","WQ3","11",2019,"SIDE",0
"443","WQ4","11",2019,"TOP",0
"444","WQ4","11",2019,"BOTTOM",7
"445","WQ4","11",2019,"SIDE",0
"446","WQ5","11",2019,"TOP",0
"447","WQ5","11",2019,"BOTTOM",0
"448","WQ5","11",2019,"SIDE",0
"449","WQ6","11",2019,"TOP",0
"450","WQ6","11",2019,"BOTTOM",0
"451","WQ6","11",2019,"SIDE",0
"452","WQ7","11",2019,"TOP",0
"453","WQ7","11",2019,"BOTTOM",0
"454","WQ7","11",2019,"SIDE",0
"455","WQ8","11",2019,"TOP",0
"456","WQ8","11",2019,"BOTTOM",0
"457","WQ8","11",2019,"SIDE",0
"458","WQ9","11",2019,"TOP",0
"459","WQ9","11",2019,"BOTTOM",3
"460","WQ9","11",2019,"SIDE",0
"461","WQ1","10",2019,"TOP",0
"462","WQ1","10",2019,"BOTTOM",0
"463","WQ1","10",2019,"SIDE",0
"464","WQ10","10",2019,"TOP",0
"465","WQ10","10",2019,"BOTTOM",2
"466","WQ10","10",2019,"SIDE",0
"467","WQ2","10",2019,"TOP",0
"468","WQ2","10",2019,"BOTTOM",0
"469","WQ2","10",2019,"SIDE",0
"470","WQ3","10",2019,"TOP",0
"471","WQ3","10",2019,"BOTTOM",3
"472","WQ3","10",2019,"SIDE",0
"473","WQ4","10",2019,"TOP",0
"474","WQ4","10",2019,"BOTTOM",0
"475","WQ4","10",2019,"SIDE",0
"476","WQ5","10",2019,"TOP",0
"477","WQ5","10",2019,"BOTTOM",0
"478","WQ5","10",2019,"SIDE",0
"479","WQ6","10",2019,"TOP",0
"480","WQ6","10",2019,"BOTTOM",1
"481","WQ6","10",2019,"SIDE",0
"482","WQ7","10",2019,"TOP",0
"483","WQ7","10",2019,"BOTTOM",0
"484","WQ7","10",2019,"SIDE",0
"485","WQ8","10",2019,"TOP",0
"486","WQ8","10",2019,"BOTTOM",0
"487","WQ8","10",2019,"SIDE",0
"488","WQ9","10",2019,"TOP",0
"489","WQ9","10",2019,"BOTTOM",0
"490","WQ9","10",2019,"SIDE",0
"491","WQ1","12",2019,"TOP",0
"492","WQ1","12",2019,"BOTTOM",0
"493","WQ1","12",2019,"SIDE",0
"494","WQ10","12",2019,"TOP",0
"495","WQ10","12",2019,"BOTTOM",0
"496","WQ10","12",2019,"SIDE",0
"497","WQ2","12",2019,"TOP",0
"498","WQ2","12",2019,"BOTTOM",0
"499","WQ2","12",2019,"SIDE",0
"500","WQ3","12",2019,"TOP",0
"501","WQ3","12",2019,"BOTTOM",0
"502","WQ3","12",2019,"SIDE",0
"503","WQ4","12",2019,"TOP",0
"504","WQ4","12",2019,"BOTTOM",0
"505","WQ4","12",2019,"SIDE",0
"506","WQ5","12",2019,"TOP",0
"507","WQ5","12",2019,"BOTTOM",0
"508","WQ5","12",2019,"SIDE",0
