field_point,easting,northing,elev_m,date,year,month,day,locality,site,bar,station,transect,tran_length,collector
LTI5-2-6,298812.802,3239339.364,-0.921,1/24/2019,2019,1,24,LT,I,5,LTI5,2,15,UF
LTI5-2-7,298815.296,3239339.494,-0.998,1/24/2019,2019,1,24,LT,I,5,LTI5,2,17.5,UF
LTI5-2-8,298816.816,3239339.605,-1.177,1/24/2019,2019,1,24,LT,I,5,LTI5,2,18.75,UF
LTI6-0,298778.793,3239323.481,-0.935,1/24/2019,2019,1,24,LT,I,6,LTI6,1,0,UF
LTI6-1,298781.234,3239323.376,-0.746,1/24/2019,2019,1,24,LT,I,6,LTI6,1,2.5,UF
LTI6-2,298783.716,3239323.541,-0.546,1/24/2019,2019,1,24,LT,I,6,LTI6,1,5,UF
LTI6-3,298786.199,3239323.398,-0.516,1/24/2019,2019,1,24,LT,I,6,LTI6,1,7.5,UF
LTI6-4,298788.688,3239323.274,-0.513,1/24/2019,2019,1,24,LT,I,6,LTI6,1,10,UF
LTI6-5,298791.175,3239323.228,-0.538,1/24/2019,2019,1,24,LT,I,6,LTI6,1,12.5,UF
LTI6-6,298793.633,3239323.069,-0.737,1/24/2019,2019,1,24,LT,I,6,LTI6,1,15,UF
LTI6-7,298796.169,3239323.139,-0.889,1/24/2019,2019,1,24,LT,I,6,LTI6,1,17.5,UF
LTI6-8,298797.703,3239323.133,-0.983,1/24/2019,2019,1,24,LT,I,6,LTI6,1,18.87,UF
wq3,297484.349,3236190.212,-1.387,10/25/2018,2018,10,25,LC,O,-999,N_A,-999,-999,UF
