"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"4655",10629,0,2644,8.255026823,299258.4375,3235926.386,299258.4375,3235930.514,299258.4375,3235934.641
"97",562,0,297,30.89861022,299039.541,3235543.733,299054.9904,3235543.733,299070.4397,3235543.733
"2718",5754,0,1893,34.37942593,297710.4375,3239354.623,297710.4375,3239371.812,297710.4375,3239389.002
"1259",4295,0,1218,8.046050378,298306.1088,3238195.733,298310.1319,3238195.733,298314.1549,3238195.733
"4711",10685,0,2658,27.01267411,299286.4375,3236009.577,299286.4375,3236023.084,299286.4375,3236036.59
"3972",8344,0,2291,3.631093082,298506.4375,3238158.253,298506.4375,3238160.069,298506.4375,3238161.884
"4730",10704,0,2662,8.752713562,299294.4375,3236120.857,299294.4375,3236125.234,299294.4375,3236129.61
"629",2212,0,561,8.842298115,299171.0624,3236075.733,299175.4835,3236075.733,299179.9047,3236075.733
"2073",5109,0,1570,15.85658901,297771.5897,3239229.733,297779.518,3239229.733,297787.4463,3239229.733
"1845",4881,0,1478,9.576981961,297838.0345,3239045.733,297842.823,3239045.733,297847.6115,3239045.733
"1060",4096,0,1112,8.759341539,298504.5389,3237687.733,298508.9186,3237687.733,298513.2982,3237687.733
"4524",10498,0,2611,16.0032098,299192.4375,3235533.498,299192.4375,3235541.499,299192.4375,3235549.501
"532",1916,0,529,32.5344771,299284.0999,3236011.733,299300.3672,3236011.733,299316.6344,3236011.733
"1063",4099,0,1114,35.95038399,298399.9523,3237691.733,298417.9274,3237691.733,298435.9026,3237691.733
"2975",6117,0,1965,43.54041109,297854.4375,3239157.616,297854.4375,3239179.386,297854.4375,3239201.156
"4161",8965,0,2331,1.838160947,298586.4375,3237097.446,298586.4375,3237098.365,298586.4375,3237099.284
"56",488,0,286,25.24855426,298856.8609,3235521.733,298869.4852,3235521.733,298882.1094,3235521.733
"3185",6719,0,2150,9.450787575,298224.4375,3238466.566,298224.4375,3238471.291,298224.4375,3238476.016
"2274",5310,0,1662,15.92796382,297967.8449,3239461.733,297975.8089,3239461.733,297983.7729,3239461.733
"1992",5028,0,1539,40.24895842,297831.7198,3239167.733,297851.8443,3239167.733,297871.9688,3239167.733
"1801",4837,0,1463,36.26601285,297495.3187,3239015.733,297513.4517,3239015.733,297531.5847,3239015.733
"2581",5617,0,1846,21.85457486,297616.4375,3239391.44,297616.4375,3239402.368,297616.4375,3239413.295
"3941",8281,0,2287,2.859362612,298498.4375,3238472.108,298498.4375,3238473.538,298498.4375,3238474.967
"535",1928,0,530,14.80016209,299282.9181,3236013.733,299290.3182,3236013.733,299297.7183,3236013.733
"2712",5748,0,1891,34.80925573,297706.4375,3239357.424,297706.4375,3239374.828,297706.4375,3239392.233
"2201",5237,0,1640,8.179779203,297985.1982,3239417.733,297989.288,3239417.733,297993.3779,3239417.733
"647",2250,0,565,22.0632214,299324.8074,3236083.733,299335.839,3236083.733,299346.8706,3236083.733
"4737",10711,0,2664,21.97513522,299298.4375,3235805.995,299298.4375,3235816.982,299298.4375,3235827.97
"175",699,0,315,17.59014509,298870.0472,3235579.733,298878.8423,3235579.733,298887.6374,3235579.733
"4034",8511,0,2302,12.04391282,298528.4375,3237695.682,298528.4375,3237701.704,298528.4375,3237707.726
"1422",4458,0,1298,22.4936167,298470.3195,3238473.733,298481.5663,3238473.733,298492.8131,3238473.733
"2846",5945,0,1931,8.777801027,297786.4375,3239222.822,297786.4375,3239227.211,297786.4375,3239231.6
"3814",8066,0,2274,7.895065108,298472.4375,3238589.722,298472.4375,3238593.67,298472.4375,3238597.617
"3824",8082,0,2275,11.99749037,298474.4375,3238587.486,298474.4375,3238593.485,298474.4375,3238599.484
"188",721,0,318,33.52065983,299068.4045,3235585.733,299085.1648,3235585.733,299101.9252,3235585.733
"1710",4746,0,1410,13.36234581,298495.0039,3238697.733,298501.6851,3238697.733,298508.3663,3238697.733
"3476",7349,0,2217,21.49276415,298358.4375,3238500.798,298358.4375,3238511.544,298358.4375,3238522.29
"4219",9196,0,2353,14.880701,298630.4375,3237138.405,298630.4375,3237145.845,298630.4375,3237153.285
"1718",4754,0,1413,10.17359532,298469.9229,3238703.733,298475.0097,3238703.733,298480.0965,3238703.733
"4800",10774,0,2673,17.74361156,299316.4375,3236060.366,299316.4375,3236069.238,299316.4375,3236078.11
"3812",8064,0,2274,12.08827277,298472.4375,3237758.81,298472.4375,3237764.854,298472.4375,3237770.898
"2025",5061,0,1550,70.19698741,297833.8064,3239189.733,297868.9049,3239189.733,297904.0034,3239189.733
"2419",5455,0,1738,7.006775414,297700.1172,3239621.733,297703.6205,3239621.733,297707.1239,3239621.733
"2386",5422,0,1713,12.10614821,297731.3927,3239563.733,297737.4458,3239563.733,297743.4988,3239563.733
"16",365,0,228,32.41846002,298858.4741,3235405.733,298874.6833,3235405.733,298890.8926,3235405.733
"1041",4077,0,1103,16.80497228,298396.8355,3237669.733,298405.238,3237669.733,298413.6405,3237669.733
"2460",5496,0,1771,30.47349994,297466.4375,3238937.377,297466.4375,3238952.613,297466.4375,3238967.85
"3614",7690,0,2246,31.61435283,298416.4375,3238657.932,298416.4375,3238673.739,298416.4375,3238689.547
"1293",4329,0,1246,14.38357291,298368.0556,3238369.733,298375.2474,3238369.733,298382.4392,3238369.733
