"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"3336",6477,0,2090,29.88952853,298104.4375,3235331.85,298104.4375,3235346.795,298104.4375,3235361.74
"3997",7562,0,2236,38.49947989,298396.4375,3236277.121,298396.4375,3236296.371,298396.4375,3236315.62
"4223",8084,0,2276,40.65851358,298476.4375,3235329.679,298476.4375,3235350.009,298476.4375,3235370.338
"5773",10111,0,2470,43.1558916,298864.4375,3236750.84,298864.4375,3236772.418,298864.4375,3236793.996
"5263",9556,0,2393,14.60828498,298710.4375,3236117.477,298710.4375,3236124.781,298710.4375,3236132.085
"887",1142,0,407,23.93558008,298077.8369,3235763.733,298089.8047,3235763.733,298101.7725,3235763.733
"3349",6490,0,2094,26.70577854,298112.4375,3235438.7,298112.4375,3235452.053,298112.4375,3235465.406
"898",1153,0,409,24.60607182,298351.7453,3235767.733,298364.0484,3235767.733,298376.3514,3235767.733
"620",849,0,349,20.46666612,298742.4964,3235647.733,298752.7297,3235647.733,298762.963,3235647.733
"3782",7238,0,2210,30.78317924,298344.4375,3236207.274,298344.4375,3236222.665,298344.4375,3236238.057
"2727",3470,0,865,35.29871702,298460.8337,3236683.733,298478.4831,3236683.733,298496.1324,3236683.733
"315",314,0,207,13.2275603,298184.0527,3235363.733,298190.6665,3235363.733,298197.2802,3235363.733
"684",927,0,366,35.08128296,298764.2485,3235681.733,298781.7892,3235681.733,298799.3298,3235681.733
"3301",6442,0,2081,29.25606755,298086.4375,3235444.513,298086.4375,3235459.141,298086.4375,3235473.769
"2338",3081,0,715,14.43775043,298535.6675,3236383.733,298542.8863,3236383.733,298550.1052,3236383.733
"2257",3000,0,698,10.78101891,298348.4233,3236349.733,298353.8138,3236349.733,298359.2043,3236349.733
"695",938,0,370,23.84322928,298418.8203,3235689.733,298430.7419,3235689.733,298442.6635,3235689.733
"756",1011,0,385,12.28266312,298544.8264,3235719.733,298550.9678,3235719.733,298557.1091,3235719.733
"957",1212,0,424,23.14435431,298862.6885,3235797.733,298874.2607,3235797.733,298885.8328,3235797.733
"2236",2979,0,693,20.30666114,298745.179,3236339.733,298755.3323,3236339.733,298765.4857,3236339.733
"1063",1380,0,465,23.7384571,298521.5667,3235883.733,298533.436,3235883.733,298545.3052,3235883.733
"4503",8599,0,2309,53.79383051,298542.4375,3235724.511,298542.4375,3235751.408,298542.4375,3235778.305
"5708",10038,0,2457,16.13483276,298838.4375,3236094.886,298838.4375,3236102.954,298838.4375,3236111.021
"1667",2395,0,583,10.32364548,298845.6396,3236119.733,298850.8014,3236119.733,298855.9633,3236119.733
"3139",6181,0,1982,48.56397871,297888.4375,3234624.021,297888.4375,3234648.303,297888.4375,3234672.585
"206",205,0,145,20.17443476,298015.5799,3235209.733,298025.6672,3235209.733,298035.7544,3235209.733
"3086",5978,0,1937,24.35923416,297798.4375,3234573.065,297798.4375,3234585.245,297798.4375,3234597.425
"2134",2877,0,674,21.1384821,298387.0849,3236301.733,298397.6541,3236301.733,298408.2234,3236301.733
"134",133,0,93,29.63945119,297742.586,3234727.733,297757.4057,3234727.733,297772.2254,3234727.733
"1310",1805,0,518,26.30606916,298585.7085,3235989.733,298598.8615,3235989.733,298612.0146,3235989.733
"1165",1525,0,483,26.76101928,298704.754,3235919.733,298718.1345,3235919.733,298731.515,3235919.733
"1000",1276,0,447,24.34567292,298386.2074,3235847.733,298398.3803,3235847.733,298410.5531,3235847.733
"3531",6756,0,2156,27.00795522,298236.4375,3235734.38,298236.4375,3235747.884,298236.4375,3235761.388
"3167",6238,0,1997,40.17215781,297918.4375,3234540.284,297918.4375,3234560.37,297918.4375,3234580.456
"463",553,0,296,29.29343817,298584.2065,3235541.733,298598.8532,3235541.733,298613.4999,3235541.733
"4812",9054,0,2339,55.59817297,298602.4375,3235966.537,298602.4375,3235994.336,298602.4375,3236022.135
"1117",1447,0,475,24.14433807,298249.824,3235903.733,298261.8961,3235903.733,298273.9683,3235903.733
"3556",6801,0,2163,13.5719749,298250.4375,3235746.125,298250.4375,3235752.911,298250.4375,3235759.697
"1432",1991,0,536,34.77868224,298608.3202,3236025.733,298625.7096,3236025.733,298643.0989,3236025.733
"3499",6682,0,2145,29.2219521,298214.4375,3236050.204,298214.4375,3236064.815,298214.4375,3236079.426
"2920",3663,0,923,20.28064301,298739.9781,3236799.733,298750.1184,3236799.733,298760.2587,3236799.733
"5437",9746,0,2409,29.07375586,298742.4375,3235949.872,298742.4375,3235964.409,298742.4375,3235978.946
"816",1071,0,396,30.74842659,298304.0568,3235741.733,298319.4311,3235741.733,298334.8053,3235741.733
"4789",9021,0,2336,22.96996613,298596.4375,3235886.226,298596.4375,3235897.711,298596.4375,3235909.196
"717",972,0,378,49.96684922,298713.2089,3235705.733,298738.1923,3235705.733,298763.1757,3235705.733
"4026",7623,0,2241,56.23739097,298406.4375,3236292.565,298406.4375,3236320.683,298406.4375,3236348.802
