FID,Id,ORIG_FID,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
166,0,124,22.68360949,298350.4443,3235167.733,298361.7861,3235167.733,298373.1279,3235167.733
167,0,125,24.74228665,298348.2507,3235169.733,298360.6219,3235169.733,298372.993,3235169.733
168,0,126,25.82629547,298346.8542,3235171.733,298359.7674,3235171.733,298372.6805,3235171.733
169,0,127,26.60470456,298345.7633,3235173.733,298359.0657,3235173.733,298372.368,3235173.733
170,0,128,27.28001698,298344.7755,3235175.733,298358.4155,3235175.733,298372.0555,3235175.733
171,0,129,27.76456793,298343.8755,3235177.733,298357.7578,3235177.733,298371.6401,3235177.733
172,0,130,28.05742508,298342.9755,3235179.733,298357.0042,3235179.733,298371.0329,3235179.733
173,0,131,28.14163752,298342.2842,3235181.733,298356.355,3235181.733,298370.4258,3235181.733
174,0,132,28.34549532,298341.4732,3235183.733,298355.6459,3235183.733,298369.8186,3235183.733
175,0,133,14.06094198,298308.5882,3235185.733,298315.6187,3235185.733,298322.6492,3235185.733
176,0,133,29.65319029,298339.4732,3235185.733,298354.2998,3235185.733,298369.1263,3235185.733
177,0,134,23.47387407,298302.0174,3235187.733,298313.7544,3235187.733,298325.4913,3235187.733
178,0,134,30.91405985,298337.4732,3235187.733,298352.9302,3235187.733,298368.3872,3235187.733
179,0,135,29.84922403,297971.3682,3235189.733,297986.2928,3235189.733,298001.2174,3235189.733
180,0,135,32.3641731,298298.9169,3235189.733,298315.099,3235189.733,298331.2811,3235189.733
181,0,135,32.14017995,298335.5079,3235189.733,298351.578,3235189.733,298367.6481,3235189.733
182,0,136,49.92900993,297963.3356,3235191.733,297988.3001,3235191.733,298013.2646,3235191.733
183,0,136,68.48129227,298297.8688,3235191.733,298332.1095,3235191.733,298366.3501,3235191.733
184,0,137,52.77900993,297963.7356,3235193.733,297990.1251,3235193.733,298016.5146,3235193.733
185,0,137,67.6146256,298297.0688,3235193.733,298330.8761,3235193.733,298364.6834,3235193.733
186,0,138,13.1062404,297963.8617,3235195.733,297970.4148,3235195.733,297976.9679,3235195.733
187,0,138,25.56947503,297993.5257,3235195.733,298006.3104,3235195.733,298019.0952,3235195.733
188,0,138,66.25716503,298296.4585,3235195.733,298329.587,3235195.733,298362.7156,3235195.733
189,0,139,3.85731358,297965.5301,3235197.733,297967.4587,3235197.733,297969.3874,3235197.733
190,0,139,22.97378449,297998.6814,3235197.733,298010.1683,3235197.733,298021.6552,3235197.733
191,0,139,64.04617602,298296.5156,3235197.733,298328.5387,3235197.733,298360.5618,3235197.733
192,0,140,21.1285235,298000.4502,3235199.733,298011.0145,3235199.733,298021.5787,3235199.733
193,0,140,61.86133426,298296.5727,3235199.733,298327.5034,3235199.733,298358.4341,3235199.733
194,0,141,21.26423778,298000.2002,3235201.733,298010.8323,3235201.733,298021.4644,3235201.733
195,0,141,60.27568126,298296.6847,3235201.733,298326.8226,3235201.733,298356.9604,3235201.733
196,0,142,21.97077556,297998.741,3235203.733,298009.7264,3235203.733,298020.7118,3235203.733
197,0,142,58.68434999,298296.8024,3235203.733,298326.1445,3235203.733,298355.4867,3235203.733
198,0,143,20.1609431,297997.3633,3235205.733,298007.4438,3235205.733,298017.5243,3235205.733
199,0,143,8.788051045,298025.1663,3235205.733,298029.5603,3235205.733,298033.9544,3235205.733
200,0,143,57.38933437,298297.1348,3235205.733,298325.8294,3235205.733,298354.5241,3235205.733
201,0,144,16.61630024,297997.7205,3235207.733,298006.0286,3235207.733,298014.3368,3235207.733
202,0,144,15.33925526,298019.5151,3235207.733,298027.1847,3235207.733,298034.8544,3235207.733
203,0,144,56.44488993,298297.5792,3235207.733,298325.8017,3235207.733,298354.0241,3235207.733
204,0,145,12.97534506,297998.2991,3235209.733,298004.7868,3235209.733,298011.2745,3235209.733
205,0,145,20.17443476,298015.5799,3235209.733,298025.6672,3235209.733,298035.7544,3235209.733
206,0,145,54.1451726,298299.3789,3235209.733,298326.4515,3235209.733,298353.5241,3235209.733
207,0,146,7.64201173,298000.6325,3235211.733,298004.4535,3235211.733,298008.2745,3235211.733
208,0,146,24.12227539,298012.3577,3235211.733,298024.4189,3235211.733,298036.48,3235211.733
209,0,146,35.92800564,298317.2588,3235211.733,298335.2228,3235211.733,298353.1868,3235211.733
210,0,147,25.69894905,298011.2426,3235213.733,298024.0921,3235213.733,298036.9415,3235213.733
211,0,147,33.44271152,298319.5088,3235213.733,298336.2301,3235213.733,298352.9515,3235213.733
212,0,148,26.88048751,298010.5226,3235215.733,298023.9628,3235215.733,298037.4031,3235215.733
213,0,148,7.225919326,298256.9779,3235215.733,298260.5908,3235215.733,298264.2038,3235215.733
214,0,148,31.66703476,298321.0491,3235215.733,298336.8827,3235215.733,298352.7162,3235215.733
215,0,149,27.82191014,298009.8026,3235217.733,298023.7135,3235217.733,298037.6245,3235217.733
216,0,149,14.78310408,298253.0831,3235217.733,298260.4747,3235217.733,298267.8662,3235217.733
217,0,149,30.82568004,298321.6552,3235217.733,298337.068,3235217.733,298352.4809,3235217.733
218,0,150,28.20857681,298009.0826,3235219.733,298023.1869,3235219.733,298037.2912,3235219.733
219,0,150,21.48596683,298249.3803,3235219.733,298260.1233,3235219.733,298270.8662,3235219.733
220,0,150,29.95081415,298322.2134,3235219.733,298337.1888,3235219.733,298352.1642,3235219.733
221,0,151,27.6821076,298009.2757,3235221.733,298023.1168,3235221.733,298036.9578,3235221.733
222,0,151,27.87727118,298245.989,3235221.733,298259.9276,3235221.733,298273.8662,3235221.733
223,0,151,28.60368772,298322.6272,3235221.733,298336.9291,3235221.733,298351.2309,3235221.733
224,0,152,26.60753286,298009.6013,3235223.733,298022.9051,3235223.733,298036.2088,3235223.733
225,0,152,33.37170845,298242.5977,3235223.733,298259.2835,3235223.733,298275.9694,3235223.733
226,0,152,27.24459104,298323.053,3235223.733,298336.6753,3235223.733,298350.2976,3235223.733
227,0,153,25.01365878,298009.9269,3235225.733,298022.4337,3235225.733,298034.9405,3235225.733
228,0,153,35.41558938,298240.1625,3235225.733,298257.8703,3235225.733,298275.5781,3235225.733
229,0,153,25.55446954,298323.503,3235225.733,298336.2802,3235225.733,298349.0574,3235225.733
230,0,154,23.09547426,298010.5768,3235227.733,298022.1245,3235227.733,298033.6722,3235227.733
231,0,154,35.59032277,298239.5964,3235227.733,298257.3916,3235227.733,298275.1868,3235227.733
232,0,154,21.90803109,298323.953,3235227.733,298334.907,3235227.733,298345.861,3235227.733
233,0,155,20.33166538,298011.6071,3235229.733,298021.7729,3235229.733,298031.9387,3235229.733
234,0,155,35.76505616,298239.0304,3235229.733,298256.9129,3235229.733,298274.7955,3235229.733
235,0,155,16.85315256,298325.0079,3235229.733,298333.4344,3235229.733,298341.861,3235229.733
236,0,156,15.58707664,298012.6374,3235231.733,298020.4309,3235231.733,298028.2245,3235231.733
237,0,156,35.93978955,298238.4644,3235231.733,298256.4343,3235231.733,298274.4042,3235231.733
238,0,156,10.62105906,298326.3412,3235231.733,298331.6517,3235231.733,298336.9622,3235231.733
239,0,157,5.863413936,298017.4506,3235233.733,298020.3823,3235233.733,298023.314,3235233.733
240,0,157,36.11452294,298237.8983,3235233.733,298255.9556,3235233.733,298274.0129,3235233.733
241,0,158,35.82799163,298237.3323,3235235.733,298255.2463,3235235.733,298273.1603,3235235.733
242,0,159,33.42628743,298236.7663,3235237.733,298253.4794,3235237.733,298270.1925,3235237.733
243,0,160,28.9932428,298238.2316,3235239.733,298252.7282,3235239.733,298267.2248,3235239.733
244,0,161,20.37844204,298243.8786,3235241.733,298254.0678,3235241.733,298264.2571,3235241.733
245,0,162,6.249806671,298335.1458,3235255.733,298338.2707,3235255.733,298341.3956,3235255.733
246,0,163,17.66392446,298329.7003,3235257.733,298338.5323,3235257.733,298347.3642,3235257.733
247,0,164,22.74725779,298327.967,3235259.733,298339.3406,3235259.733,298350.7142,3235259.733
248,0,165,27.28136303,298326.7829,3235261.733,298340.4235,3235261.733,298354.0642,3235261.733
249,0,166,29.58094467,298327.4621,3235263.733,298342.2526,3235263.733,298357.043,3235263.733
250,0,167,31.8378696,298328.1413,3235265.733,298344.0603,3235265.733,298359.9792,3235265.733
251,0,168,34.09479453,298328.8206,3235267.733,298345.868,3235267.733,298362.9154,3235267.733
252,0,169,34.71227437,298329.5509,3235269.733,298346.907,3235269.733,298364.2632,3235269.733
253,0,170,34.8829093,298330.3009,3235271.733,298347.7424,3235271.733,298365.1838,3235271.733
254,0,171,34.81076877,298331.2937,3235273.733,298348.6991,3235273.733,298366.1045,3235273.733
255,0,172,31.79022722,298335.2349,3235275.733,298351.13,3235275.733,298367.0251,3235275.733
256,0,173,25.84887274,298339.176,3235277.733,298352.1005,3235277.733,298365.0249,3235277.733
257,0,174,16.12026135,298345.1209,3235279.733,298353.181,3235279.733,298361.2411,3235279.733
258,0,175,7.427650215,298464.2729,3235299.733,298467.9867,3235299.733,298471.7005,3235299.733
259,0,176,9.329748119,298462.7344,3235301.733,298467.3993,3235301.733,298472.0642,3235301.733
260,0,177,11.23184602,298461.1959,3235303.733,298466.8119,3235303.733,298472.4278,3235303.733
261,0,178,12.08939119,298460.702,3235305.733,298466.7467,3235305.733,298472.7914,3235305.733
262,0,179,12.84508349,298460.222,3235307.733,298466.6446,3235307.733,298473.0671,3235307.733
263,0,180,13.25100942,298459.742,3235309.733,298466.3675,3235309.733,298472.993,3235309.733
264,0,181,13.65693534,298459.262,3235311.733,298466.0905,3235311.733,298472.919,3235311.733
265,0,182,14.05513478,298458.7898,3235313.733,298465.8173,3235313.733,298472.8449,3235313.733
266,0,183,14.16287889,298458.6079,3235315.733,298465.6894,3235315.733,298472.7708,3235315.733
267,0,184,14.270623,298458.4261,3235317.733,298465.5614,3235317.733,298472.6967,3235317.733
268,0,185,14.98475094,298458.2443,3235319.733,298465.7367,3235319.733,298473.2291,3235319.733
