FID,Id,POINT_X,POINT_Y,STATION
399,0,296664.3224,3235479.633,LCO22
400,0,296666.3224,3235479.633,LCO22
401,0,296656.3224,3235481.633,LCO22
402,0,296658.3224,3235481.633,LCO22
403,0,296660.3224,3235481.633,LCO22
404,0,296662.3224,3235481.633,LCO22
405,0,296664.3224,3235481.633,LCO22
406,0,296666.3224,3235481.633,LCO22
407,0,296656.3224,3235483.633,LCO22
408,0,296658.3224,3235483.633,LCO22
409,0,296660.3224,3235483.633,LCO22
410,0,296662.3224,3235483.633,LCO22
411,0,296664.3224,3235483.633,LCO22
412,0,296654.3224,3235485.633,LCO22
413,0,296656.3224,3235485.633,LCO22
414,0,296658.3224,3235485.633,LCO22
415,0,296660.3224,3235485.633,LCO22
416,0,296662.3224,3235485.633,LCO22
417,0,296664.3224,3235485.633,LCO22
418,0,296654.3224,3235487.633,LCO22
419,0,296656.3224,3235487.633,LCO22
420,0,296658.3224,3235487.633,LCO22
421,0,296660.3224,3235487.633,LCO22
422,0,296662.3224,3235487.633,LCO22
423,0,296652.3224,3235489.633,LCO22
424,0,296654.3224,3235489.633,LCO22
425,0,296656.3224,3235489.633,LCO22
426,0,296658.3224,3235489.633,LCO22
427,0,296660.3224,3235489.633,LCO22
428,0,296662.3224,3235489.633,LCO22
429,0,296652.3224,3235491.633,LCO22
430,0,296654.3224,3235491.633,LCO22
431,0,296656.3224,3235491.633,LCO22
432,0,296658.3224,3235491.633,LCO22
433,0,296660.3224,3235491.633,LCO22
434,0,296650.3224,3235493.633,LCO22
435,0,296652.3224,3235493.633,LCO22
436,0,296654.3224,3235493.633,LCO22
437,0,296656.3224,3235493.633,LCO22
438,0,296658.3224,3235493.633,LCO22
439,0,296650.3224,3235495.633,LCO22
440,0,296652.3224,3235495.633,LCO22
441,0,296654.3224,3235495.633,LCO22
442,0,296656.3224,3235495.633,LCO22
443,0,296658.3224,3235495.633,LCO22
444,0,296648.3224,3235497.633,LCO22
445,0,296650.3224,3235497.633,LCO22
446,0,296652.3224,3235497.633,LCO22
447,0,296654.3224,3235497.633,LCO22
448,0,296656.3224,3235497.633,LCO22
449,0,296648.3224,3235499.633,LCO22
450,0,296650.3224,3235499.633,LCO22
451,0,296652.3224,3235499.633,LCO22
452,0,296654.3224,3235499.633,LCO22
453,0,296656.3224,3235499.633,LCO22
454,0,296646.3224,3235501.633,LCO22
455,0,296648.3224,3235501.633,LCO22
456,0,296650.3224,3235501.633,LCO22
457,0,296652.3224,3235501.633,LCO22
458,0,296654.3224,3235501.633,LCO22
459,0,296646.3224,3235503.633,LCO22
460,0,296648.3224,3235503.633,LCO22
461,0,296650.3224,3235503.633,LCO22
462,0,296652.3224,3235503.633,LCO22
463,0,296654.3224,3235503.633,LCO22
464,0,296644.3224,3235505.633,LCO22
465,0,296646.3224,3235505.633,LCO22
466,0,296648.3224,3235505.633,LCO22
467,0,296650.3224,3235505.633,LCO22
468,0,296652.3224,3235505.633,LCO22
469,0,296644.3224,3235507.633,LCO22
470,0,296646.3224,3235507.633,LCO22
471,0,296648.3224,3235507.633,LCO22
472,0,296650.3224,3235507.633,LCO22
473,0,296652.3224,3235507.633,LCO22
474,0,296642.3224,3235509.633,LCO22
475,0,296644.3224,3235509.633,LCO22
476,0,296646.3224,3235509.633,LCO22
477,0,296648.3224,3235509.633,LCO22
478,0,296650.3224,3235509.633,LCO22
479,0,296642.3224,3235511.633,LCO22
480,0,296644.3224,3235511.633,LCO22
481,0,296646.3224,3235511.633,LCO22
482,0,296648.3224,3235511.633,LCO22
483,0,296650.3224,3235511.633,LCO22
484,0,296640.3224,3235513.633,LCO22
485,0,296642.3224,3235513.633,LCO22
486,0,296644.3224,3235513.633,LCO22
487,0,296646.3224,3235513.633,LCO22
488,0,296648.3224,3235513.633,LCO22
489,0,296640.3224,3235515.633,LCO22
490,0,296642.3224,3235515.633,LCO22
491,0,296644.3224,3235515.633,LCO22
492,0,296646.3224,3235515.633,LCO22
493,0,296648.3224,3235515.633,LCO22
494,0,296638.3224,3235517.633,LCO22
495,0,296640.3224,3235517.633,LCO22
496,0,296642.3224,3235517.633,LCO22
497,0,296644.3224,3235517.633,LCO22
498,0,296646.3224,3235517.633,LCO22
499,0,296638.3224,3235519.633,LCO22
500,0,296640.3224,3235519.633,LCO22
501,0,296642.3224,3235519.633,LCO22
502,0,296644.3224,3235519.633,LCO22
503,0,296646.3224,3235519.633,LCO22
504,0,296636.3224,3235521.633,LCO22
505,0,296638.3224,3235521.633,LCO22
506,0,296640.3224,3235521.633,LCO22
507,0,296642.3224,3235521.633,LCO22
508,0,296644.3224,3235521.633,LCO22
509,0,296636.3224,3235523.633,LCO22
510,0,296638.3224,3235523.633,LCO22
511,0,296640.3224,3235523.633,LCO22
512,0,296642.3224,3235523.633,LCO22
513,0,296644.3224,3235523.633,LCO22
514,0,296634.3224,3235525.633,LCO22
515,0,296636.3224,3235525.633,LCO22
516,0,296638.3224,3235525.633,LCO22
517,0,296640.3224,3235525.633,LCO22
518,0,296642.3224,3235525.633,LCO22
519,0,296632.3224,3235527.633,LCO22
520,0,296634.3224,3235527.633,LCO22
521,0,296636.3224,3235527.633,LCO22
522,0,296638.3224,3235527.633,LCO22
523,0,296640.3224,3235527.633,LCO22
524,0,296642.3224,3235527.633,LCO22
525,0,296632.3224,3235529.633,LCO22
526,0,296634.3224,3235529.633,LCO22
527,0,296636.3224,3235529.633,LCO22
528,0,296638.3224,3235529.633,LCO22
529,0,296640.3224,3235529.633,LCO22
530,0,296630.3224,3235531.633,LCO22
531,0,296632.3224,3235531.633,LCO22
532,0,296634.3224,3235531.633,LCO22
533,0,296636.3224,3235531.633,LCO22
534,0,296638.3224,3235531.633,LCO22
535,0,296640.3224,3235531.633,LCO22
536,0,296630.3224,3235533.633,LCO22
537,0,296632.3224,3235533.633,LCO22
538,0,296634.3224,3235533.633,LCO22
539,0,296636.3224,3235533.633,LCO22
540,0,296638.3224,3235533.633,LCO22
541,0,296634.3224,3235535.633,LCO22
542,0,296636.3224,3235535.633,LCO22
543,0,296638.3224,3235535.633,LCO22
544,0,296584.3224,3235577.633,LCO21
545,0,296586.3224,3235577.633,LCO21
546,0,296584.3224,3235579.633,LCO21
547,0,296586.3224,3235579.633,LCO21
548,0,296588.3224,3235579.633,LCO21
549,0,296590.3224,3235579.633,LCO21
