FID,point,elev_ft,transect,element,type,F8,POINT_X,POINT_Y,POINT_Z,POINT_M
122,775.000000000000000,-1.399000000000000,2.000000000000000,3.000000000000000,ROCK TOP, ,294404.825083000000000,3239186.728449999800000,-1.399000000000000,1.000000000000000
123,776.000000000000000,-2.364000000000000,2.000000000000000,3.000000000000000,GS, ,294405.427644999990000,3239187.005570000000000,-2.364000000000000,1.000000000000000
124,777.000000000000000,-2.200000000000000,4.000000000000000,3.000000000000000,GS, ,294410.663119999980000,3239175.276409999900000,-2.200000000000000,1.000000000000000
125,778.000000000000000,-1.617000000000000,4.000000000000000,3.000000000000000,ROCK TOP, ,294410.356204000010000,3239175.316829999900000,-1.617000000000000,1.000000000000000
126,779.000000000000000,-1.517000000000000,4.000000000000000,3.000000000000000,ROCK TOP, ,294409.795566999990000,3239174.523289999900000,-1.517000000000000,1.000000000000000
127,780.000000000000000,-1.567000000000000,4.000000000000000,3.000000000000000,ROCK TOP, ,294409.008881999990000,3239174.280660000200000,-1.567000000000000,1.000000000000000
128,781.000000000000000,-1.619000000000000,4.000000000000000,3.000000000000000,ROCK TOP, ,294408.309637999980000,3239173.783059999800000,-1.619000000000000,1.000000000000000
129,782.000000000000000,-1.759000000000000,4.000000000000000,3.000000000000000,ROCK TOP, ,294407.506070000000000,3239173.455230000000000,-1.759000000000000,1.000000000000000
130,783.000000000000000,-1.662000000000000,4.000000000000000,3.000000000000000,ROCK TOP, ,294407.051237999990000,3239172.879639999900000,-1.662000000000000,1.000000000000000
131,784.000000000000000,-1.859000000000000,4.000000000000000,3.000000000000000,ROCK TOP, ,294406.516515000020000,3239172.479400000100000,-1.859000000000000,1.000000000000000
132,785.000000000000000,-1.624000000000000,4.000000000000000,3.000000000000000,ROCK TOP, ,294405.464393000000000,3239172.315549999900000,-1.624000000000000,1.000000000000000
133,786.000000000000000,-1.572000000000000,4.000000000000000,3.000000000000000,ROCK TOP, ,294404.695217999980000,3239171.981629999800000,-1.572000000000000,1.000000000000000
134,787.000000000000000,-1.678000000000000,4.000000000000000,3.000000000000000,ROCK TOP, ,294404.317289999980000,3239171.916269999900000,-1.678000000000000,1.000000000000000
135,788.000000000000000,-2.394000000000000,4.000000000000000,3.000000000000000,GS, ,294403.891199000010000,3239171.708060000100000,-2.394000000000000,1.000000000000000
136,789.000000000000000,-2.459000000000000,5.000000000000000,3.000000000000000,GS, ,294409.548813999980000,3239155.975420000000000,-2.459000000000000,1.000000000000000
137,790.000000000000000,-1.669000000000000,5.000000000000000,3.000000000000000,ROCK TOP, ,294410.030457000020000,3239155.871020000000000,-1.669000000000000,1.000000000000000
138,791.000000000000000,-1.840000000000000,5.000000000000000,3.000000000000000,ROCK TOP, ,294410.555380999980000,3239156.087530000100000,-1.840000000000000,1.000000000000000
139,792.000000000000000,-1.830000000000000,5.000000000000000,3.000000000000000,ROCK TOP, ,294411.299491000010000,3239156.234809999800000,-1.830000000000000,1.000000000000000
140,793.000000000000000,-1.446000000000000,5.000000000000000,3.000000000000000,ROCK TOP, ,294412.207219999980000,3239156.516640000000000,-1.446000000000000,1.000000000000000
141,794.000000000000000,-1.569000000000000,5.000000000000000,3.000000000000000,ROCK TOP, ,294412.983453999970000,3239156.677670000100000,-1.569000000000000,1.000000000000000
142,795.000000000000000,-1.691000000000000,5.000000000000000,3.000000000000000,ROCK TOP, ,294413.722079999980000,3239157.110919999900000,-1.691000000000000,1.000000000000000
143,796.000000000000000,-1.363000000000000,5.000000000000000,3.000000000000000,ROCK TOP, ,294414.457401999970000,3239157.621309999800000,-1.363000000000000,1.000000000000000
144,797.000000000000000,-1.764000000000000,5.000000000000000,3.000000000000000,ROCK TOP, ,294415.777767000020000,3239158.249249999900000,-1.764000000000000,1.000000000000000
