FID,Shape,Id,POINT_X,POINT_Y,STATION
42701,Point,0,298407.4375,3237662.734,NNI3
42702,Point,0,298409.4375,3237662.734,NNI3
42703,Point,0,298411.4375,3237662.734,NNI3
42710,Point,0,298399.4375,3237664.734,NNI3
42711,Point,0,298401.4375,3237664.734,NNI3
42712,Point,0,298403.4375,3237664.734,NNI3
42713,Point,0,298405.4375,3237664.734,NNI3
42714,Point,0,298407.4375,3237664.734,NNI3
42715,Point,0,298409.4375,3237664.734,NNI3
42716,Point,0,298411.4375,3237664.734,NNI3
42723,Point,0,298397.4375,3237666.734,NNI3
42724,Point,0,298399.4375,3237666.734,NNI3
42725,Point,0,298401.4375,3237666.734,NNI3
42726,Point,0,298403.4375,3237666.734,NNI3
42727,Point,0,298405.4375,3237666.734,NNI3
42728,Point,0,298407.4375,3237666.734,NNI3
42729,Point,0,298409.4375,3237666.734,NNI3
42730,Point,0,298411.4375,3237666.734,NNI3
42731,Point,0,298413.4375,3237666.734,NNI3
42738,Point,0,298397.4375,3237668.734,NNI3
42739,Point,0,298399.4375,3237668.734,NNI3
42740,Point,0,298401.4375,3237668.734,NNI3
42741,Point,0,298403.4375,3237668.734,NNI3
42742,Point,0,298405.4375,3237668.734,NNI3
42743,Point,0,298407.4375,3237668.734,NNI3
42744,Point,0,298409.4375,3237668.734,NNI3
42745,Point,0,298411.4375,3237668.734,NNI3
42746,Point,0,298413.4375,3237668.734,NNI3
42752,Point,0,298397.4375,3237670.734,NNI3
42753,Point,0,298399.4375,3237670.734,NNI3
42754,Point,0,298401.4375,3237670.734,NNI3
42755,Point,0,298403.4375,3237670.734,NNI3
42756,Point,0,298405.4375,3237670.734,NNI3
42757,Point,0,298407.4375,3237670.734,NNI3
42758,Point,0,298409.4375,3237670.734,NNI3
42759,Point,0,298411.4375,3237670.734,NNI3
42760,Point,0,298413.4375,3237670.734,NNI3
42767,Point,0,298397.4375,3237672.734,NNI3
42768,Point,0,298399.4375,3237672.734,NNI3
42769,Point,0,298401.4375,3237672.734,NNI3
42770,Point,0,298403.4375,3237672.734,NNI3
42771,Point,0,298405.4375,3237672.734,NNI3
42772,Point,0,298407.4375,3237672.734,NNI3
42773,Point,0,298409.4375,3237672.734,NNI3
42774,Point,0,298411.4375,3237672.734,NNI3
42775,Point,0,298413.4375,3237672.734,NNI3
42782,Point,0,298397.4375,3237674.734,NNI3
42783,Point,0,298399.4375,3237674.734,NNI3
42784,Point,0,298401.4375,3237674.734,NNI3
42785,Point,0,298403.4375,3237674.734,NNI3
42786,Point,0,298405.4375,3237674.734,NNI3
42787,Point,0,298407.4375,3237674.734,NNI3
42788,Point,0,298409.4375,3237674.734,NNI3
42789,Point,0,298411.4375,3237674.734,NNI3
42790,Point,0,298413.4375,3237674.734,NNI3
42796,Point,0,298397.4375,3237676.734,NNI3
42797,Point,0,298399.4375,3237676.734,NNI3
42798,Point,0,298401.4375,3237676.734,NNI3
42799,Point,0,298403.4375,3237676.734,NNI3
42800,Point,0,298405.4375,3237676.734,NNI3
42801,Point,0,298407.4375,3237676.734,NNI3
42802,Point,0,298409.4375,3237676.734,NNI3
42803,Point,0,298411.4375,3237676.734,NNI3
42804,Point,0,298413.4375,3237676.734,NNI3
42810,Point,0,298397.4375,3237678.734,NNI3
42811,Point,0,298399.4375,3237678.734,NNI3
42812,Point,0,298401.4375,3237678.734,NNI3
42813,Point,0,298403.4375,3237678.734,NNI3
42814,Point,0,298405.4375,3237678.734,NNI3
42815,Point,0,298407.4375,3237678.734,NNI3
42816,Point,0,298409.4375,3237678.734,NNI3
42817,Point,0,298411.4375,3237678.734,NNI3
42818,Point,0,298413.4375,3237678.734,NNI3
42824,Point,0,298397.4375,3237680.734,NNI3
42825,Point,0,298399.4375,3237680.734,NNI3
42826,Point,0,298401.4375,3237680.734,NNI3
42827,Point,0,298403.4375,3237680.734,NNI3
42828,Point,0,298405.4375,3237680.734,NNI3
42829,Point,0,298407.4375,3237680.734,NNI3
42830,Point,0,298409.4375,3237680.734,NNI3
42831,Point,0,298411.4375,3237680.734,NNI3
42832,Point,0,298413.4375,3237680.734,NNI3
42837,Point,0,298399.4375,3237682.734,NNI3
42838,Point,0,298401.4375,3237682.734,NNI3
42839,Point,0,298403.4375,3237682.734,NNI3
42840,Point,0,298405.4375,3237682.734,NNI3
42841,Point,0,298407.4375,3237682.734,NNI3
42842,Point,0,298409.4375,3237682.734,NNI3
42843,Point,0,298411.4375,3237682.734,NNI3
42844,Point,0,298413.4375,3237682.734,NNI3
42845,Point,0,298415.4375,3237682.734,NNI3
42851,Point,0,298399.4375,3237684.734,NNI3
42852,Point,0,298401.4375,3237684.734,NNI3
42853,Point,0,298403.4375,3237684.734,NNI3
42854,Point,0,298405.4375,3237684.734,NNI3
42855,Point,0,298407.4375,3237684.734,NNI3
42856,Point,0,298409.4375,3237684.734,NNI3
42857,Point,0,298411.4375,3237684.734,NNI3
42858,Point,0,298413.4375,3237684.734,NNI3
42859,Point,0,298415.4375,3237684.734,NNI3
42860,Point,0,298417.4375,3237684.734,NNI3
42866,Point,0,298399.4375,3237686.734,NNI3
42867,Point,0,298401.4375,3237686.734,NNI3
42868,Point,0,298403.4375,3237686.734,NNI3
42869,Point,0,298405.4375,3237686.734,NNI3
42870,Point,0,298407.4375,3237686.734,NNI3
42871,Point,0,298409.4375,3237686.734,NNI3
42872,Point,0,298411.4375,3237686.734,NNI3
42873,Point,0,298413.4375,3237686.734,NNI3
42874,Point,0,298415.4375,3237686.734,NNI3
42875,Point,0,298417.4375,3237686.734,NNI3
42876,Point,0,298419.4375,3237686.734,NNI3
42877,Point,0,298429.4375,3237686.734,NNI3
42882,Point,0,298399.4375,3237688.734,NNI3
42883,Point,0,298401.4375,3237688.734,NNI3
42884,Point,0,298403.4375,3237688.734,NNI3
42885,Point,0,298405.4375,3237688.734,NNI3
42886,Point,0,298407.4375,3237688.734,NNI3
42887,Point,0,298409.4375,3237688.734,NNI3
42888,Point,0,298411.4375,3237688.734,NNI3
42889,Point,0,298413.4375,3237688.734,NNI3
42890,Point,0,298415.4375,3237688.734,NNI3
42891,Point,0,298417.4375,3237688.734,NNI3
42892,Point,0,298419.4375,3237688.734,NNI3
42893,Point,0,298421.4375,3237688.734,NNI3
42894,Point,0,298423.4375,3237688.734,NNI3
42895,Point,0,298425.4375,3237688.734,NNI3
42896,Point,0,298427.4375,3237688.734,NNI3
42897,Point,0,298429.4375,3237688.734,NNI3
42898,Point,0,298431.4375,3237688.734,NNI3
42904,Point,0,298401.4375,3237690.734,NNI3
42905,Point,0,298403.4375,3237690.734,NNI3
42906,Point,0,298405.4375,3237690.734,NNI3
42907,Point,0,298407.4375,3237690.734,NNI3
42908,Point,0,298409.4375,3237690.734,NNI3
42909,Point,0,298411.4375,3237690.734,NNI3
42910,Point,0,298413.4375,3237690.734,NNI3
42911,Point,0,298415.4375,3237690.734,NNI3
42912,Point,0,298417.4375,3237690.734,NNI3
42913,Point,0,298419.4375,3237690.734,NNI3
42914,Point,0,298421.4375,3237690.734,NNI3
42915,Point,0,298423.4375,3237690.734,NNI3
42916,Point,0,298425.4375,3237690.734,NNI3
42917,Point,0,298427.4375,3237690.734,NNI3
42918,Point,0,298429.4375,3237690.734,NNI3
42919,Point,0,298431.4375,3237690.734,NNI3
42920,Point,0,298433.4375,3237690.734,NNI3
42927,Point,0,298401.4375,3237692.734,NNI3
42928,Point,0,298403.4375,3237692.734,NNI3
42929,Point,0,298405.4375,3237692.734,NNI3
42930,Point,0,298407.4375,3237692.734,NNI3
42931,Point,0,298409.4375,3237692.734,NNI3
42932,Point,0,298411.4375,3237692.734,NNI3
42933,Point,0,298413.4375,3237692.734,NNI3
42934,Point,0,298415.4375,3237692.734,NNI3
42935,Point,0,298417.4375,3237692.734,NNI3
42936,Point,0,298419.4375,3237692.734,NNI3
42937,Point,0,298421.4375,3237692.734,NNI3
42938,Point,0,298423.4375,3237692.734,NNI3
42939,Point,0,298425.4375,3237692.734,NNI3
42940,Point,0,298427.4375,3237692.734,NNI3
42941,Point,0,298429.4375,3237692.734,NNI3
42942,Point,0,298431.4375,3237692.734,NNI3
42943,Point,0,298433.4375,3237692.734,NNI3
42944,Point,0,298435.4375,3237692.734,NNI3
42952,Point,0,298401.4375,3237694.734,NNI3
42953,Point,0,298403.4375,3237694.734,NNI3
42954,Point,0,298405.4375,3237694.734,NNI3
42955,Point,0,298407.4375,3237694.734,NNI3
42956,Point,0,298409.4375,3237694.734,NNI3
42957,Point,0,298411.4375,3237694.734,NNI3
42958,Point,0,298413.4375,3237694.734,NNI3
42959,Point,0,298415.4375,3237694.734,NNI3
42960,Point,0,298417.4375,3237694.734,NNI3
42961,Point,0,298419.4375,3237694.734,NNI3
42962,Point,0,298421.4375,3237694.734,NNI3
42963,Point,0,298423.4375,3237694.734,NNI3
42964,Point,0,298425.4375,3237694.734,NNI3
42965,Point,0,298427.4375,3237694.734,NNI3
42966,Point,0,298429.4375,3237694.734,NNI3
42967,Point,0,298431.4375,3237694.734,NNI3
42968,Point,0,298433.4375,3237694.734,NNI3
42969,Point,0,298435.4375,3237694.734,NNI3
42980,Point,0,298403.4375,3237696.734,NNI3
42981,Point,0,298405.4375,3237696.734,NNI3
42982,Point,0,298407.4375,3237696.734,NNI3
42983,Point,0,298409.4375,3237696.734,NNI3
42984,Point,0,298411.4375,3237696.734,NNI3
