FID,Id,station,POINT_X,POINT_Y
251,0,LCN10,297757.4375,3234664.733
252,0,LCN10,297733.4375,3234666.733
253,0,LCN10,297735.4375,3234666.733
254,0,LCN10,297737.4375,3234666.733
255,0,LCN10,297739.4375,3234666.733
256,0,LCN10,297741.4375,3234666.733
257,0,LCN10,297743.4375,3234666.733
258,0,LCN10,297745.4375,3234666.733
259,0,LCN10,297747.4375,3234666.733
260,0,LCN10,297749.4375,3234666.733
261,0,LCN10,297751.4375,3234666.733
262,0,LCN10,297753.4375,3234666.733
263,0,LCN10,297733.4375,3234668.733
264,0,LCN10,297735.4375,3234668.733
265,0,LCN10,297737.4375,3234668.733
266,0,LCN10,297739.4375,3234668.733
267,0,LCN10,297741.4375,3234668.733
268,0,LCN10,297743.4375,3234668.733
269,0,LCN10,297745.4375,3234668.733
270,0,LCN10,297747.4375,3234668.733
271,0,LCN10,297749.4375,3234668.733
272,0,LCI26,298371.4375,3235156.733
273,0,LCI26,298365.4375,3235158.733
274,0,LCI26,298367.4375,3235158.733
275,0,LCI26,298369.4375,3235158.733
276,0,LCI26,298371.4375,3235158.733
277,0,LCI26,298361.4375,3235160.733
278,0,LCI26,298363.4375,3235160.733
279,0,LCI26,298365.4375,3235160.733
280,0,LCI26,298367.4375,3235160.733
281,0,LCI26,298369.4375,3235160.733
282,0,LCI26,298371.4375,3235160.733
283,0,LCI26,298357.4375,3235162.733
284,0,LCI26,298359.4375,3235162.733
285,0,LCI26,298361.4375,3235162.733
286,0,LCI26,298363.4375,3235162.733
287,0,LCI26,298365.4375,3235162.733
