FID,FID_wildre,Id,FID_reefma,Id_1,Harvest,Locality,Site,POLY_AREA,Bar,Quartile,POINT_X,POINT_Y
189,353961,0,14,0,yes,LC,I,1375.207951,19,1,298319.4375,3235116.733
190,353962,0,14,0,yes,LC,I,1375.207951,19,1,298321.4375,3235116.733
191,353963,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235116.733
192,353964,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235116.733
193,353965,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235116.733
194,353966,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235116.733
195,353967,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235116.733
196,353968,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235116.733
197,353969,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235116.733
198,353970,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235116.733
199,353971,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235116.733
200,353972,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235116.733
201,353973,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235116.733
202,353974,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235116.733
203,353975,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235116.733
204,353976,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235116.733
205,353977,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235116.733
206,353978,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235116.733
207,353979,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235116.733
208,353980,0,14,0,yes,LC,I,1375.207951,19,1,298357.4375,3235116.733
209,353981,0,14,0,yes,LC,I,1375.207951,19,1,298359.4375,3235116.733
210,353982,0,14,0,yes,LC,I,1375.207951,19,1,298361.4375,3235116.733
211,353983,0,14,0,yes,LC,I,1375.207951,19,1,298363.4375,3235116.733
212,353984,0,14,0,yes,LC,I,1375.207951,19,1,298365.4375,3235116.733
213,353985,0,14,0,yes,LC,I,1375.207951,19,1,298367.4375,3235116.733
214,353986,0,14,0,yes,LC,I,1375.207951,19,1,298369.4375,3235116.733
215,353987,0,14,0,yes,LC,I,1375.207951,19,1,298371.4375,3235116.733
216,353988,0,14,0,yes,LC,I,1375.207951,19,1,298373.4375,3235116.733
217,355051,0,14,0,yes,LC,I,1375.207951,19,1,298317.4375,3235118.733
218,355052,0,14,0,yes,LC,I,1375.207951,19,1,298319.4375,3235118.733
219,355053,0,14,0,yes,LC,I,1375.207951,19,1,298321.4375,3235118.733
220,355054,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235118.733
221,355055,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235118.733
222,355056,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235118.733
223,355057,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235118.733
224,355058,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235118.733
225,355059,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235118.733
226,355060,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235118.733
227,355061,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235118.733
228,355062,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235118.733
229,355063,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235118.733
230,355064,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235118.733
231,355065,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235118.733
232,355066,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235118.733
233,355067,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235118.733
234,355068,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235118.733
235,355069,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235118.733
236,355070,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235118.733
237,355071,0,14,0,yes,LC,I,1375.207951,19,1,298357.4375,3235118.733
238,355072,0,14,0,yes,LC,I,1375.207951,19,1,298359.4375,3235118.733
239,355073,0,14,0,yes,LC,I,1375.207951,19,1,298361.4375,3235118.733
