"","point","bar","station","date","POINT_X","POINT_Y","locality","site","elev_m"
"3673","PC684",NA,NA,"9/6/2017 0:00",295534.6611,3237912.521,"LC","O",-0.765048
"3674","PC687",NA,NA,"9/6/2017 0:00",295545.7933,3237927.896,"LC","O",-0.826008
"3675","PC688",NA,NA,"9/6/2017 0:00",295551.7318,3237930.46,"LC","O",-0.865632
"3676","PC689",NA,NA,"9/6/2017 0:00",295557.6814,3237932.897,"LC","O",-0.935736
"3677","PC69",NA,NA,"9/5/2017 0:00",294354.0327,3239266.581,"LC","O",-0.85344
"3678","PC690",NA,NA,"9/6/2017 0:00",295562.2885,3237936.97,"LC","O",-1.09728
"3679","PC691",NA,NA,"9/6/2017 0:00",295565.8936,3237942.215,"LC","O",-1.152144
"3680","PC692",NA,NA,"9/6/2017 0:00",295570.1119,3237946.813,"LC","O",-1.167384
"3681","PC693",NA,NA,"9/6/2017 0:00",295575.2261,3237950.299,"LC","O",-1.182624
"3682","PC694",NA,NA,"9/6/2017 0:00",295597.2244,3237937.72,"LC","O",-1.139952
"3683","PC695",NA,NA,"9/6/2017 0:00",295593.4509,3237932.741,"LC","O",-1.146048
"3684","PC696",NA,NA,"9/6/2017 0:00",295590.4195,3237926.85,"LC","O",-1.146048
"3685","PC697",NA,NA,"9/6/2017 0:00",295586.2228,3237922.292,"LC","O",-1.130808
"3686","PC698",NA,NA,"9/6/2017 0:00",295581.9326,3237917.851,"LC","O",-1.176528
"3687","PC699",NA,NA,"9/6/2017 0:00",295576.676,3237914.461,"LC","O",-1.167384
"3688","PC7",NA,NA,"9/5/2017 0:00",294351.577,3239267.072,"LC","O",-0.749808
"3689","PC700",NA,NA,"9/6/2017 0:00",295569.954,3237912.948,"LC","O",-0.829056
"3690","PC701",NA,NA,"9/6/2017 0:00",295565.0629,3237909.171,"LC","O",-0.813816
"3691","PC702",NA,NA,"9/6/2017 0:00",295560.3988,3237905.205,"LC","O",-0.810768
"3692","PC705",NA,NA,"9/6/2017 0:00",295546.3026,3237893.279,"LC","O",-0.82296
"3693","PC706",NA,NA,"9/6/2017 0:00",295541.84,3237888.982,"LC","O",-0.80772
"3694","PC707",NA,NA,"9/6/2017 0:00",295537.3693,3237884.82,"LC","O",-0.82296
"3695","PC708",NA,NA,"9/6/2017 0:00",295533.6192,3237879.731,"LC","O",-0.826008
"3696","PC709",NA,NA,"9/6/2017 0:00",295528.9215,3237875.754,"LC","O",-0.841248
"3697","PC710",NA,NA,"9/6/2017 0:00",295523.7893,3237872.295,"LC","O",-0.847344
"3698","PC711",NA,NA,"9/6/2017 0:00",295519.9793,3237867.331,"LC","O",-0.86868
"3699","PC712",NA,NA,"9/6/2017 0:00",295514.4876,3237864.257,"LC","O",-0.865632
"3700","PC713",NA,NA,"9/6/2017 0:00",295599.5242,3237804.31,"LC","O",-0.938784
"3701","PC714",NA,NA,"9/6/2017 0:00",295603.0309,3237809.456,"LC","O",-0.920496
"3702","PC715",NA,NA,"9/6/2017 0:00",295605.5862,3237815.632,"LC","O",-0.890016
"3703","PC716",NA,NA,"9/6/2017 0:00",295609.3538,3237820.632,"LC","O",-0.896112
"3704","PC717",NA,NA,"9/6/2017 0:00",295615.1273,3237823.515,"LC","O",-0.902208
"3705","PC718",NA,NA,"9/6/2017 0:00",295621.9499,3237825.377,"LC","O",-0.923544
"3706","PC72",NA,NA,"9/5/2017 0:00",294370.2453,3239275.405,"LC","O",-0.722376
"3707","PC721",NA,NA,"9/6/2017 0:00",295633.7989,3237840.091,"LC","O",-0.911352
"3708","PC722",NA,NA,"9/6/2017 0:00",295636.9647,3237845.651,"LC","O",-0.932688
"3709","PC723",NA,NA,"9/6/2017 0:00",295641.4444,3237849.804,"LC","O",-0.94488
"3710","PC724",NA,NA,"9/6/2017 0:00",295647.7435,3237852.113,"LC","O",-0.972312
"3711","PC725",NA,NA,"9/6/2017 0:00",295653.9555,3237854.58,"LC","O",-1.02108
"3712","PC726",NA,NA,"9/6/2017 0:00",295658.0736,3237859.23,"LC","O",-1.078992
"3713","PC727",NA,NA,"9/6/2017 0:00",295660.8412,3237865.27,"LC","O",-1.271016
"3714","PC728",NA,NA,"9/6/2017 0:00",295664.4547,3237870.433,"LC","O",-1.316736
"3715","PC729",NA,NA,"9/6/2017 0:00",295678.9054,3237847.11,"LC","O",-1.048512
"3716","PC73",NA,NA,"9/5/2017 0:00",294376.0323,3239277.712,"LC","O",-1.063752
"3717","PC730",NA,NA,"9/6/2017 0:00",295675.8544,3237841.436,"LC","O",-0.950976
"3718","PC731",NA,NA,"9/6/2017 0:00",295672.7636,3237835.012,"LC","O",-0.920496
"3719","PC732",NA,NA,"9/6/2017 0:00",295668.9993,3237830.036,"LC","O",-0.88392
"3720","PC733",NA,NA,"9/6/2017 0:00",295664.8756,3237825.462,"LC","O",-0.856488
"3721","PC734",NA,NA,"9/6/2017 0:00",295658.8055,3237822.831,"LC","O",-0.86868
"3722","PC735",NA,NA,"9/6/2017 0:00",295653.4881,3237819.463,"LC","O",-0.88392
"3723","PC738",NA,NA,"9/6/2017 0:00",295640.2984,3237806.243,"LC","O",-0.920496
"3724","PC739",NA,NA,"9/6/2017 0:00",295635.3348,3237802.536,"LC","O",-0.923544
"3725","PC74",NA,NA,"9/5/2017 0:00",294380.9469,3239281.385,"LC","O",-1.505712
"3726","PC740",NA,NA,"9/6/2017 0:00",295629.2926,3237799.963,"LC","O",-0.935736
"3727","PC741",NA,NA,"9/6/2017 0:00",295625.0751,3237795.469,"LC","O",-0.941832
"3728","PC742",NA,NA,"9/6/2017 0:00",295621.9062,3237789.896,"LC","O",-0.97536
"3729","PC743",NA,NA,"9/6/2017 0:00",295617.3986,3237785.692,"LC","O",-0.972312
"3730","PC744",NA,NA,"9/6/2017 0:00",295612.4382,3237782.012,"LC","O",-0.966216
"3731","PC745",NA,NA,"9/6/2017 0:00",295608.5746,3237777.192,"LC","O",-0.972312
"3732","PC746",NA,NA,"9/6/2017 0:00",295630.8104,3237756.717,"LC","O",-0.963168
"3733","PC747",NA,NA,"9/6/2017 0:00",295635.0671,3237761.167,"LC","O",-0.94488
"3734","PC748",NA,NA,"9/6/2017 0:00",295637.7736,3237767.21,"LC","O",-0.950976
"3735","PC749",NA,NA,"9/6/2017 0:00",295640.8481,3237772.784,"LC","O",-0.957072
"3736","PC75",NA,NA,"9/5/2017 0:00",294403.3607,3239256.058,"LC","O",-1.139952
"3737","PC750",NA,NA,"9/6/2017 0:00",295645.5062,3237776.768,"LC","O",-0.954024
"3738","PC751",NA,NA,"9/6/2017 0:00",295650.2549,3237780.641,"LC","O",-0.935736
"3739","PC752",NA,NA,"9/6/2017 0:00",295653.7659,3237785.939,"LC","O",-0.923544
"3740","PC753",NA,NA,"9/6/2017 0:00",295657.5125,3237790.983,"LC","O",-0.902208
"3741","PC756",NA,NA,"9/6/2017 0:00",295669.1605,3237805.359,"LC","O",-0.850392
"3742","PC757",NA,NA,"9/6/2017 0:00",295672.3533,3237810.864,"LC","O",-0.871728
"3743","PC758",NA,NA,"9/6/2017 0:00",295676.8611,3237815.09,"LC","O",-0.88392
"3744","PC759",NA,NA,"9/6/2017 0:00",295681.5411,3237819.135,"LC","O",-0.877824
"3745","PC76",NA,NA,"9/5/2017 0:00",294398.3701,3239252.059,"LC","O",-1.316736
"3746","PC760",NA,NA,"9/6/2017 0:00",295685.5475,3237823.905,"LC","O",-0.886968
"3747","PC761",NA,NA,"9/6/2017 0:00",295689.4628,3237828.706,"LC","O",-0.938784
"3748","PC762",NA,NA,"9/6/2017 0:00",295695.1667,3237832.361,"LC","O",-1.124712
"3749","PC763",NA,NA,"9/6/2017 0:00",295701.1099,3237835.127,"LC","O",-1.307592
"3750","PC764",NA,NA,"9/6/2017 0:00",295705.8778,3237839.113,"LC","O",-1.283208
"3751","PC765",NA,NA,"9/6/2017 0:00",295709.5333,3237844.19,"LC","O",-1.261872
"3752","PC766",NA,NA,"9/6/2017 0:00",295776.5436,3237770.056,"LC","O",-1.210056
"3753","PC767",NA,NA,"9/6/2017 0:00",295772.7552,3237765.126,"LC","O",-1.191768
"3754","PC768",NA,NA,"9/6/2017 0:00",295767.5237,3237761.82,"LC","O",-1.194816
"3755","PC769",NA,NA,"9/6/2017 0:00",295761.6269,3237759.13,"LC","O",-1.185672
"3756","PC77",NA,NA,"9/5/2017 0:00",294392.8236,3239249.348,"LC","O",-1.252728
"3757","PC770",NA,NA,"9/6/2017 0:00",295756.4068,3237755.733,"LC","O",-1.136904
"3758","PC771",NA,NA,"9/6/2017 0:00",295751.7999,3237751.688,"LC","O",-0.97536
"3759","PC772",NA,NA,"9/6/2017 0:00",295747.6554,3237747.166,"LC","O",-0.890016
"3760","PC773",NA,NA,"9/6/2017 0:00",295742.747,3237743.505,"LC","O",-0.85344
"3761","PC775",NA,NA,"9/6/2017 0:00",295731.5013,3237737.69,"LC","O",-0.813816
"3762","PC776",NA,NA,"9/6/2017 0:00",295726.2998,3237734.339,"LC","O",-0.80772
"3763","PC777",NA,NA,"9/6/2017 0:00",295722.4806,3237729.363,"LC","O",-0.813816
"3764","PC778",NA,NA,"9/6/2017 0:00",295718.8336,3237724.206,"LC","O",-0.816864
"3765","PC779",NA,NA,"9/6/2017 0:00",295715.4137,3237718.861,"LC","O",-0.80772
"3766","PC78",NA,NA,"9/5/2017 0:00",294386.0824,3239249.518,"LC","O",-0.573024
"3767","PC780",NA,NA,"9/6/2017 0:00",295711.791,3237713.698,"LC","O",-0.801624
"3768","PC781",NA,NA,"9/6/2017 0:00",295706.6441,3237710.313,"LC","O",-0.804672
"3769","PC782",NA,NA,"9/6/2017 0:00",295701.808,3237706.541,"LC","O",-0.835152
"3770","PC783",NA,NA,"9/6/2017 0:00",295802.1868,3237760.967,"LC","O",-1.191768
"3771","PC784",NA,NA,"9/6/2017 0:00",295796.4685,3237758.117,"LC","O",-1.222248
"3772","PC785",NA,NA,"9/6/2017 0:00",295792.1095,3237753.825,"LC","O",-1.24968
"3773","PC786",NA,NA,"9/6/2017 0:00",295788.0788,3237749.077,"LC","O",-1.274064
"3774","PC787",NA,NA,"9/6/2017 0:00",295783.9906,3237744.366,"LC","O",-1.246632
"3775","PC788",NA,NA,"9/6/2017 0:00",295779.9357,3237739.627,"LC","O",-1.207008
"3776","PC789",NA,NA,"9/6/2017 0:00",295775.5394,3237735.257,"LC","O",-1.185672
"3777","PC790",NA,NA,"9/6/2017 0:00",295771.2852,3237730.745,"LC","O",-0.908304
"3778","PC791",NA,NA,"9/6/2017 0:00",295766.8898,3237726.466,"LC","O",-0.829056
"3779","PC792",NA,NA,"9/6/2017 0:00",295762.922,3237721.58,"LC","O",-0.813816
"3780","PC794",NA,NA,"9/6/2017 0:00",295754.4909,3237712.691,"LC","O",-0.801624
"3781","PC795",NA,NA,"9/6/2017 0:00",295750.1562,3237708.39,"LC","O",-0.798576
"3782","PC796",NA,NA,"9/6/2017 0:00",295744.6226,3237705.395,"LC","O",-0.774192
"3783","PC797",NA,NA,"9/6/2017 0:00",295740.7098,3237700.53,"LC","O",-0.795528
"3784","PC798",NA,NA,"9/6/2017 0:00",295736.0089,3237696.531,"LC","O",-0.783336
"3785","PC799",NA,NA,"9/6/2017 0:00",295731.5615,3237692.244,"LC","O",-0.771144
"3786","PC8",NA,NA,"9/5/2017 0:00",294357.3368,3239269.415,"LC","O",-0.77724
"3787","PC800",NA,NA,"9/6/2017 0:00",295749.2733,3237668.865,"LC","O",-0.819912
"3788","PC801",NA,NA,"9/6/2017 0:00",295753.7832,3237672.978,"LC","O",-0.801624
"3789","PC802",NA,NA,"9/6/2017 0:00",295757.7172,3237677.831,"LC","O",-0.801624
"3790","PC803",NA,NA,"9/6/2017 0:00",295761.7748,3237682.524,"LC","O",-0.801624
"3791","PC804",NA,NA,"9/6/2017 0:00",295766.6026,3237686.388,"LC","O",-0.786384
